Open,High,Low,Close,Volume,Adj Close
4261.48,4485.39,4200.74,4285.08,795.150377,4285.08
4285.08,4371.52,3938.77,4108.37,1199.888264,4108.37
4108.37,4184.69,3850,4139.98,381.309763,4139.98
4120.98,4211.08,4032.62,4086.29,467.083022,4086.29
4069.13,4119.62,3911.79,4016,691.74306,4016
4016,4104.82,3400,4040,966.684858,4040
4040,4265.8,4013.89,4114.01,1001.136565,4114.01
4147,4371.68,4085.01,4316.01,787.418753,4316.01
4316.01,4453.91,4247.48,4280.68,573.61274,4280.68
4280.71,4367,4212.41,4337.44,228.108068,4337.44
4332.51,4400,4285.54,4310.01,350.692585,4310.01
4310.01,4399.82,4124.54,4386.69,603.841616,4386.69
4353.65,4625.85,4313.55,4587.48,603.545028,4587.48
4564.52,4647.51,4416.01,4555.14,808.468771,4555.14
4555.14,4745.42,4555.14,4724.89,556.956802,4724.89
4689.89,4885.55,4654.88,4834.91,560.666366,4834.91
4796.16,4939.19,4286.87,4472.14,929.148595,4472.14
4508.5,4714.76,4298.33,4509.08,691.216198,4509.08
4505,4527.49,3972.51,4100.11,1394.644614,4100.11
4106.97,4484.99,3603,4366.47,1228.938157,4366.47
4366.49,4662.87,4335.26,4619.77,807.363726,4619.77
4619.77,4788.59,4438.19,4691.61,500.429975,4691.61
4691.66,4735.39,4028.93,4282.8,1132.255046,4282.8
4282.8,4426.62,4150.06,4258.81,658.782952,4258.81
4258.81,4283,3801,4130.37,660.373275,4130.37
4153.62,4334.43,4098.91,4208.47,699.989065,4208.47
4208.6,4394.59,4040.8,4163.72,879.630319,4163.72
4159.72,4165.38,3760,3944.69,913.462545,3944.69
3944,3993,3165.13,3189.02,1665.021543,3189.02
3188.01,3856,2817,3700,1968.866492,3700
3674.01,3950,3470.66,3714.95,1297.563953,3714.95
3685.23,3748.21,3499.02,3699.99,682.17121,3699.99
3690,4123.2,3690,4035.01,1030.006455,4035.01
4060,4089.97,3830.91,3910.04,902.332129,3910.04
3910.04,4046.08,3820,3900,720.935076,3900
3889.99,3910,3567,3609.99,1001.654084,3609.99
3592.84,3750,3505.55,3595.87,838.966425,3595.87
3595.88,3817.19,3542.91,3780,752.792791,3780
3779.54,3789.99,3622.76,3660.02,661.63639,3660.02
3660.02,3979.87,3653.69,3920.75,727.994713,3920.75
3928,3976.99,3850.05,3882.35,526.727987,3882.35
3882.36,4249.94,3872.81,4193,628.170966,4193
4192.11,4300,4101,4174.5,849.785325,4174.5
4178.98,4263.86,3952.01,4174.69,1602.309565,4174.69
4175,4380,4138.1,4378.51,720.353183,4378.51
4378.49,4406.52,4240.04,4378.48,726.963685,4378.48
4400,4561.63,4360,4380,655.756974,4380
4380,4467.33,4180.8,4310,1082.323563,4310
4314.9,4373,4142,4208.59,868.465101,4208.59
4208.59,4355,4110,4292.43,779.138638,4292.43
4318.99,4417,4292,4369,506.529176,4369
4369,4479.5,4312.56,4423,297.5975,4423
4425,4658,4425,4640,518.462004,4640
4640,4889.98,4550,4786.95,646.463145,4786.95
4786.95,4960,4680.59,4783.06,1043.221773,4783.06
4783.06,4881.61,4710,4821.43,753.429396,4821.43
4821.43,5439.99,4810.16,5430,1276.701482,5430
5439.99,5846.17,5379.84,5649.98,1879.82762,5649.98
5650,5900,5580.01,5869.99,970.759046,5869.99
5855.03,5922.3,5400.01,5709.99,1343.523375,5709.99
5710,5788.91,5585.19,5760.02,1528.996462,5760.02
5760,5774.98,5508.63,5595,1429.869376,5595
5595,5596,5037.95,5512.06,2317.804373,5512.06
5513,5710,5490.26,5683.9,1881.722107,5683.9
5683.31,6110,5600,6010.01,1972.97722,6010.01
6013.72,6171,5850.03,6024.97,1664.307693,6024.97
6003.27,6060,5720.03,5950.02,1362.092216,5950.02
5975,6080,5621.03,5915.93,1812.557715,5915.93
5909.47,5925,5450,5477.03,2580.418767,5477.03
5506.92,5704.96,5286.98,5689.99,2282.813205,5689.99
5670.1,5939.99,5650,5861.77,1972.965882,5861.77
5861.77,5980,5649.24,5768.83,1403.706416,5768.83
5768.79,5850.02,5630.03,5719.64,1276.754412,5719.64
5709.98,6189.88,5648.01,6169.98,1804.778173,6169.98
6133.01,6248.68,6030,6120.5,1473.687043,6120.5
6120.52,6498.01,6100,6463,1511.774925,6463
6463,6774.67,6338.02,6753.98,1675.615188,6753.98
6753.98,7300,6685.1,7019.98,2503.610803,7019.98
7010.31,7346.34,6923,7115.04,1891.497592,7115.04
7115.02,7480.99,6901,7357.09,1399.191767,7357.09
7357.27,7590.25,7279.02,7345.01,1207.83233,7345.01
7345.1,7401,6906,6960.12,1763.019261,6960.12
6981.72,7198.49,6901,7064.04,1440.259494,7064.04
7070,7770.02,6651,7303,2822.298802,7303
7303.01,7392,7015,7079.99,1913.398308,7079.99
7079,7279.91,6255.01,6506.98,3254.704105,6506.98
6503,6797.98,6100,6245.05,2754.156861,6245.05
6245.05,6630,5325.01,5811.03,4968.483069,5811.03
5839.94,6697.47,5699.99,6465.99,2621.243039,6465.99
6465.99,6684.98,6311.07,6574.99,1254.292531,6574.99
6575.99,7298,6575.99,7240.06,1779.605845,7240.06
7240.14,7940,7076,7864.5,2331.95675,7864.5
7876.98,7989,7451,7699.19,3982.395925,7699.19
7680.01,7819.99,7422,7761.94,3954.266477,7761.94
7761.94,8123.15,7650.33,8038,3867.340444,8038
8057.11,8319.99,7954,8212,3886.634348,8212
8212.49,8400,7801,8119.51,4544.474016,8119.51
8091.09,8322.68,8091.09,8205.92,3545.00571,8205.92
8233.03,8260,8000,8019.99,4093.952687,8019.99
8019.97,8369,7850,8138,4411.789112,8138
8138.99,8734.78,8090,8700.01,4292.623682,8700.01
8700.04,9350,8604.72,9128.02,4147.380237,9128.02
9128,9654.28,9112.04,9650,4521.625707,9650
9650,9939,9570.5,9896.8,4917.210985,9896.8
9896.79,11300.03,8520,9687.88,13352.53872,9687.88
9687.88,10900,8850.8,9838.96,9389.574329,9838.96
9837,10898,9380,10782.99,6134.923633,10782.99
10775.04,11190,10620,10890.01,4765.439757,10890.01
10902.69,11825,10500,11165.41,5346.636524,11165.41
11165.41,11600,10802,11579,4663.424562,11579
11571.03,11853,11447.68,11699.99,5550.732055,11699.99
11699.99,13615.23,11665.58,13550.05,6707.946319,13550.05
13541.01,16649.96,13050,16599,7487.065695,16599
16599,17204.99,14015,15880,17589.01314,15880
15880.01,16269.3,12535,14656.07,13918.75869,14656.07
14664.01,15720.12,12368,14899.98,16553.03717,14899.98
14946.26,17470,14901.08,16587.97,11820.40176,16587.97
16587.97,16976.45,15875,16349.99,9436.802411,16349.99
16349.99,16546,14666.56,16033.29,12416.3288,16033.29
16030.34,16445,15450,16334.98,11616.86715,16334.98
16334.98,17991,16298.45,17539.83,9181.273947,17539.83
17516.81,19539,17190.01,19102.66,4202.628709,19102.66
19120.19,19798.68,18510,18860.02,9177.183434,18860.02
18860.04,19300,17029.98,18856.25,10624.63307,18856.25
18856.25,18950,16300,17295.2,13210.74822,17295.2
17295.2,17720.35,14777.66,16488.98,13450.49669,16488.98
16480.52,17309.5,14022,15492.64,20324.2173,15492.64
15514.03,15699.34,10961,13326.61,36076.27118,13326.61
13326.61,14950,12978.18,13300,13141.53888,13300
